,FIPS_State,FIPS_County,NumAllAge,NumAllAge90%lb,NumAllAge90%ub,PercentAllAge,PercentAllAge90%lb,PercentAllAge90%ub,Num0-17_,Num0-17_90%lb,Num0-17_90%ub,Percent0-17_,Percent0-17_90%lb,Percent0-17_90%ub,NumRelCh5-17_,NumRelCh5-17_90%lb,NumRelCh5-17_90%ub,PercentRelCh5-17_,PercentRelCh5-17_90%lb,PercentRelCh5-17_90%ub,MedHouseInc,MedHouseInc90%lb,MedHouseInc90%ub,County_Name
125,48,251,16676,13156,20196,9.5,7.5,11.5,5318,3644,6992,11.7,8.0,15.4,3835,2567,5103,11.2,7.5,14.9,67382,59975,74789,Johnson County 
126,48,253,2892,2147,3637,19.5,14.5,24.5,729,486,972,21.2,14.1,28.3,532,349,715,20.4,13.4,27.4,47019,40397,53641,Jones County 
127,48,255,2254,1620,2888,17.5,12.6,22.4,773,514,1032,22.9,15.2,30.6,544,357,731,21.8,14.3,29.3,56006,47493,64519,Karnes County 
128,48,257,12958,10334,15582,9.2,7.3,11.1,5007,3619,6395,12.7,9.2,16.2,3696,2663,4729,12.6,9.1,16.1,76352,69043,83661,Kaufman County 
129,48,259,3233,2433,4033,6.7,5.0,8.4,939,632,1246,8.6,5.8,11.4,651,430,872,7.5,4.9,10.1,103216,89936,116496,Kendall County 
130,48,261,41,30,52,10.8,7.9,13.7,9,6,12,13.8,9.3,18.3,6,4,8,10.9,7.1,14.7,45980,38626,53334,Kenedy County 
131,48,263,82,61,103,11.3,8.4,14.2,21,14,28,12.3,8.2,16.4,15,10,20,11.2,7.2,15.2,53472,45469,61475,Kent County 
132,48,265,5927,4530,7324,11.6,8.9,14.3,1584,959,2209,16.5,10.0,23.0,1173,711,1635,16.9,10.3,23.5,57425,49814,65036,Kerr County 
133,48,267,687,509,865,15.7,11.6,19.8,257,171,343,32.7,21.8,43.6,188,123,253,33.7,22.0,45.4,47894,40680,55108,Kimble County 
134,48,269,35,26,44,12.4,9.1,15.7,16,11,21,21.3,14.1,28.5,12,8,16,20.3,13.4,27.2,78210,65739,90681,King County 
135,48,271,597,441,753,17.9,13.2,22.6,159,106,212,22.7,15.1,30.3,114,75,153,21.5,14.1,28.9,62557,61209,63905,Kinney County 
136,48,273,6030,4748,7312,20.8,16.4,25.2,2175,1591,2759,30.0,21.9,38.1,1454,1013,1895,28.1,19.6,36.6,51574,45274,57874,Kleberg County 
137,48,275,582,427,737,16.3,12.0,20.6,236,157,315,24.6,16.4,32.8,163,106,220,22.6,14.7,30.5,46053,39511,52595,Knox County 
138,48,277,9653,8245,11061,19.6,16.7,22.5,3137,2443,3831,26.9,20.9,32.9,2256,1744,2768,26.6,20.6,32.6,44688,40217,49159,Lamar County 
139,48,279,2200,1654,2746,17.6,13.2,22.0,837,564,1110,24.5,16.5,32.5,581,387,775,22.7,15.1,30.3,48123,41112,55134,Lamb County 
140,48,281,2159,1527,2791,10.0,7.1,12.9,830,548,1112,18.0,11.9,24.1,607,398,816,17.4,11.4,23.4,69051,61844,76258,Lampasas County 
141,48,283,1402,1017,1787,24.0,17.4,30.6,397,257,537,28.3,18.3,38.3,295,188,402,29.6,18.9,40.3,45647,38411,52883,La Salle County
142,48,285,2086,1519,2653,10.6,7.7,13.5,677,445,909,14.5,9.5,19.5,517,337,697,14.9,9.7,20.1,57999,50242,65756,Lavaca County 
143,48,287,1798,1335,2261,10.6,7.9,13.3,525,350,700,15.0,10.0,20.0,382,250,514,15.5,10.1,20.9,61444,52478,70410,Lee County 
144,48,289,2395,1846,2944,13.8,10.6,17.0,695,454,936,17.9,11.7,24.1,524,344,704,18.2,12.0,24.4,52878,45609,60147,Leon County 
145,48,291,12444,9488,15400,14.4,11.0,17.8,5012,3404,6620,20.0,13.6,26.4,3493,2356,4630,19.1,12.9,25.3,61230,54168,68292,Liberty County 
146,48,293,3647,2818,4476,16.8,13.0,20.6,983,628,1338,19.7,12.6,26.8,709,449,969,19.5,12.3,26.7,53143,47902,58384,Limestone County 
147,48,295,348,258,438,11.3,8.4,14.2,113,76,150,14.8,9.9,19.7,81,53,109,13.8,9.1,18.5,67775,58407,77143,Lipscomb County 
148,48,297,1893,1452,2334,17.0,13.0,21.0,579,400,758,23.8,16.4,31.2,421,289,553,24.7,17.0,32.4,54031,45583,62479,Live Oak County
149,48,299,2384,1738,3030,10.9,7.9,13.9,643,416,870,20.3,13.1,27.5,498,327,669,21.5,14.1,28.9,60706,52358,69054,Llano County 
150,48,301,7,5,9,3.9,2.8,5.0,6,4,8,11.3,7.0,15.6,3,2,4,7.0,3.5,10.5,97491,81537,113445,Loving County 
151,48,303,47957,41923,53991,15.8,13.8,17.8,13380,9958,16802,18.4,13.7,23.1,8783,6184,11382,16.6,11.7,21.5,56477,52647,60307,Lubbock County 
152,48,305,860,650,1070,14.4,10.9,17.9,315,213,417,19.6,13.3,25.9,227,151,303,18.6,12.4,24.8,51003,43429,58577,Lynn County 
153,48,307,1243,907,1579,16.2,11.8,20.6,440,294,586,27.1,18.1,36.1,307,201,413,25.1,16.4,33.8,47617,41890,53344,McCulloch County 
154,48,309,42552,37147,47957,17.0,14.8,19.2,12772,10271,15273,20.7,16.6,24.8,8700,6879,10521,19.5,15.4,23.6,55148,49979,60317,McLennan County 
155,48,311,69,51,87,9.7,7.1,12.3,17,11,23,12.0,7.9,16.1,13,9,17,13.3,8.7,17.9,45927,44298,47556,McMullen County 
156,48,313,2069,1540,2598,17.4,12.9,21.9,658,441,875,21.6,14.5,28.7,474,313,635,21.2,14.0,28.4,58674,54537,62811,Madison County 
157,48,315,1957,1457,2457,20.0,14.9,25.1,549,370,728,31.1,21.0,41.2,388,253,523,28.9,18.8,39.0,42024,36550,47498,Marion County 
158,48,317,643,476,810,11.1,8.2,14.0,310,207,413,17.0,11.3,22.7,209,136,282,15.2,9.9,20.5,73367,62753,83981,Martin County 
159,48,319,424,297,551,9.8,6.9,12.7,173,115,231,20.1,13.4,26.8,125,82,168,18.7,12.2,25.2,63120,54704,71536,Mason County 
160,48,321,6286,4940,7632,17.3,13.6,21.0,2252,1555,2949,24.0,16.6,31.4,1584,1084,2084,23.4,16.0,30.8,52241,44268,60214,Matagorda County 
161,48,323,11439,8832,14046,20.0,15.4,24.6,4918,3362,6474,27.9,19.1,36.7,3550,2321,4779,28.3,18.5,38.1,41324,34987,47661,Maverick County 
162,48,325,5600,4122,7078,11.2,8.2,14.2,2012,1347,2677,17.2,11.5,22.9,1456,961,1951,16.7,11.0,22.4,62600,57089,68111,Medina County 
163,48,327,398,295,501,19.1,14.2,24.0,134,90,178,34.5,23.2,45.8,100,66,134,32.7,21.7,43.7,41477,35050,47904,Menard County 
164,48,329,17070,13899,20241,9.7,7.9,11.5,6615,5081,8149,13.1,10.1,16.1,4266,3030,5502,12.0,8.5,15.5,92117,80813,103421,Midland County 
165,48,331,4208,3410,5006,17.4,14.1,20.7,1338,947,1729,24.0,17.0,31.0,953,656,1250,22.4,15.4,29.4,49961,44553,55369,Milam County 
166,48,333,675,502,848,14.4,10.7,18.1,207,138,276,22.8,15.2,30.4,142,93,191,20.4,13.4,27.4,49089,41979,56199,Mills County 
167,48,335,1259,933,1585,18.7,13.9,23.5,390,263,517,21.9,14.8,29.0,272,180,364,20.9,13.8,28.0,46156,39239,53073,Mitchell County 
168,48,337,2449,1844,3054,12.4,9.3,15.5,805,561,1049,18.2,12.7,23.7,595,422,768,17.8,12.6,23.0,56012,49995,62029,Montague County 
169,48,339,51122,42076,60168,8.2,6.7,9.7,17385,12633,22137,10.9,7.9,13.9,11904,8307,15501,10.0,7.0,13.0,85348,80384,90312,Montgomery County 
170,48,341,2160,1631,2689,10.6,8.0,13.2,947,658,1236,14.8,10.3,19.3,640,421,859,14.1,9.3,18.9,53341,46636,60046,Moore County 
171,48,343,2085,1601,2569,17.0,13.1,20.9,701,466,936,25.1,16.7,33.5,491,318,664,23.8,15.4,32.2,45122,38386,51858,Morris County 
172,48,345,192,142,242,16.3,12.0,20.6,65,43,87,27.5,18.3,36.7,47,31,63,27.6,18.1,37.1,46712,40940,52484,Motley County 
173,48,347,11695,9458,13932,19.5,15.8,23.2,3459,2501,4417,23.5,17.0,30.0,2511,1785,3237,23.3,16.6,30.0,49375,43460,55290,Nacogdoches County 
174,48,349,7383,5704,9062,14.8,11.4,18.2,2896,1984,3808,21.9,15.0,28.8,1997,1338,2656,20.6,13.8,27.4,50778,45390,56166,Navarro County 
175,48,351,2699,2156,3242,21.3,17.0,25.6,692,508,876,27.9,20.5,35.3,453,303,603,23.8,15.9,31.7,45769,38549,52989,Newton County 
176,48,353,2480,1881,3079,17.2,13.0,21.4,918,621,1215,24.4,16.5,32.3,654,437,871,23.3,15.6,31.0,41720,37387,46053,Nolan County 
177,48,355,62210,51071,73349,17.5,14.4,20.6,22323,17684,26962,25.9,20.5,31.3,15473,12025,18921,24.4,19.0,29.8,55727,51505,59949,Nueces County 
178,48,357,876,648,1104,9.2,6.8,11.6,416,275,557,14.2,9.4,19.0,301,197,405,13.7,9.0,18.4,71477,62345,80609,Ochiltree County 
179,48,359,264,195,333,14.0,10.3,17.7,70,46,94,28.8,18.9,38.7,39,25,53,22.3,14.5,30.1,61013,51910,70116,Oldham County 
180,48,361,12368,10174,14562,15.1,12.4,17.8,4280,3210,5350,21.1,15.8,26.4,2563,1736,3390,17.2,11.6,22.8,61323,53809,68837,Orange County 
181,48,363,4023,3105,4941,13.9,10.7,17.1,1382,902,1862,20.9,13.7,28.1,1013,660,1366,21.0,13.7,28.3,59450,53902,64998,Palo Pinto County
182,48,365,3494,2824,4164,15.3,12.4,18.2,1025,740,1310,19.5,14.1,24.9,689,463,915,17.4,11.7,23.1,51936,44032,59840,Panola County 
183,48,367,11729,9312,14146,8.0,6.4,9.6,3497,2473,4521,9.8,6.9,12.7,2550,1807,3293,9.5,6.7,12.3,88617,82250,94984,Parker County 
184,48,369,1147,847,1447,12.2,9.0,15.4,459,303,615,17.7,11.7,23.7,340,222,458,17.9,11.7,24.1,61989,55146,68832,Parmer County 
185,48,371,2253,1699,2807,16.5,12.4,20.6,751,504,998,19.7,13.2,26.2,534,352,716,19.0,12.5,25.5,52792,44581,61003,Pecos County 
186,48,373,7282,5611,8953,15.0,11.6,18.4,2388,1638,3138,22.9,15.7,30.1,1689,1143,2235,21.9,14.8,29.0,47535,40799,54271,Polk County 
187,48,375,22745,19177,26313,20.8,17.5,24.1,8960,7119,10801,29.2,23.2,35.2,6246,4917,7575,27.7,21.8,33.6,45903,41081,50725,Potter County 
188,48,377,1261,938,1584,19.4,14.4,24.4,570,384,756,32.4,21.8,43.0,439,290,588,35.0,23.1,46.9,39967,33610,46324,Presidio County 
189,48,379,1687,1270,2104,13.6,10.2,17.0,497,340,654,20.3,13.9,26.7,349,233,465,18.7,12.5,24.9,59195,51491,66899,Rains County 
190,48,381,13225,10928,15522,9.6,7.9,11.3,3829,2907,4751,11.6,8.8,14.4,2510,1814,3206,10.2,7.4,13.0,71041,62592,79490,Randall County 
191,48,383,316,236,396,8.3,6.2,10.4,112,75,149,10.1,6.7,13.5,83,55,111,10.2,6.7,13.7,66711,56213,77209,Reagan County 
192,48,385,545,408,682,16.4,12.3,20.5,184,124,244,32.1,21.6,42.6,141,93,189,36.3,24.0,48.6,43076,36256,49896,Real County 
193,48,387,1851,1370,2332,15.7,11.6,19.8,579,383,775,25.6,16.9,34.3,428,280,576,25.8,16.9,34.7,46727,42886,50568,Red River County
194,48,389,2424,1782,3066,19.0,14.0,24.0,720,482,958,20.5,13.7,27.3,504,329,679,19.5,12.7,26.3,64863,63967,65759,Reeves County 
195,48,391,1030,768,1292,15.3,11.4,19.2,358,239,477,23.7,15.8,31.6,264,174,354,22.9,15.0,30.8,48433,41077,55789,Refugio County 
196,48,393,52,37,67,6.4,4.6,8.2,17,11,23,9.1,6.0,12.2,13,8,18,9.2,6.0,12.4,69927,58966,80888,Roberts County 
197,48,395,2414,1789,3039,14.2,10.5,17.9,921,609,1233,23.2,15.3,31.1,636,403,869,21.7,13.8,29.6,55218,49552,60884,Robertson County 
198,48,397,5214,3853,6575,4.8,3.6,6.0,1863,1252,2474,6.4,4.3,8.5,1337,882,1792,6.0,4.0,8.0,106225,99315,113135,Rockwall County 
199,48,399,1461,1079,1843,14.3,10.6,18.0,514,341,687,21.4,14.2,28.6,372,243,501,20.7,13.5,27.9,50972,46007,55937,Runnels County 
200,48,401,6809,5093,8525,14.2,10.6,17.8,2106,1440,2772,18.1,12.4,23.8,1493,1008,1978,17.2,11.6,22.8,56954,51484,62424,Rusk County 
201,48,403,1664,1244,2084,16.0,12.0,20.0,469,315,623,25.4,17.1,33.7,325,210,440,24.1,15.6,32.6,51046,46565,55527,Sabine County 
202,48,405,1576,1193,1959,19.6,14.8,24.4,472,324,620,29.7,20.4,39.0,334,224,444,28.5,19.1,37.9,45781,39136,52426,San Augustine County
203,48,407,4692,3565,5819,16.1,12.2,20.0,1594,1067,2121,26.1,17.5,34.7,1128,740,1516,24.6,16.1,33.1,51575,43907,59243,San Jacinto County
204,48,409,9855,7626,12084,14.8,11.4,18.2,3738,2546,4930,21.6,14.7,28.5,2622,1731,3513,20.7,13.7,27.7,56944,49946,63942,San Patricio County
205,48,411,932,692,1172,17.4,12.9,21.9,299,203,395,26.1,17.7,34.5,214,144,284,26.5,17.8,35.2,48349,41051,55647,San Saba County
206,48,413,364,269,459,13.2,9.7,16.7,120,80,160,19.0,12.6,25.4,86,56,116,16.5,10.8,22.2,54471,46073,62869,Schleicher County 
207,48,415,2077,1537,2617,13.8,10.2,17.4,726,479,973,17.6,11.6,23.6,518,336,700,17.2,11.1,23.3,57158,48709,65607,Scurry County 
208,48,417,410,315,505,12.5,9.6,15.4,116,79,153,15.8,10.8,20.8,81,53,109,14.4,9.5,19.3,64931,54995,74867,Shackelford County 
209,48,419,4447,3456,5438,18.0,14.0,22.0,1545,1080,2010,24.4,17.0,31.8,1107,767,1447,24.3,16.8,31.8,41194,37007,45381,Shelby County 
210,48,421,338,250,426,11.3,8.3,14.3,137,91,183,16.9,11.2,22.6,95,62,128,15.4,10.0,20.8,66408,55878,76938,Sherman County 
211,48,423,29150,23641,34659,12.7,10.3,15.1,10185,7413,12957,18.2,13.3,23.1,6846,4721,8971,16.7,11.5,21.9,60735,55696,65774,Smith County 
212,48,425,743,555,931,8.3,6.2,10.4,248,165,331,12.8,8.5,17.1,184,120,248,12.5,8.2,16.8,67984,57317,78651,Somervell County 
213,48,427,15985,12897,19073,25.2,20.3,30.1,7278,5439,9117,35.3,26.4,44.2,5150,3725,6575,34.5,24.9,44.1,35716,30484,40948,Starr County 
214,48,429,1349,992,1706,15.6,11.5,19.7,470,314,626,23.5,15.7,31.3,336,220,452,22.8,15.0,30.6,48911,41681,56141,Stephens County 
215,48,431,130,96,164,10.2,7.5,12.9,49,32,66,13.5,8.9,18.1,36,23,49,13.5,8.8,18.2,68435,57820,79050,Sterling County 
216,48,433,189,140,238,14.3,10.6,18.0,68,45,91,22.5,15.0,30.0,49,32,66,21.6,14.1,29.1,59802,53284,66320,Stonewall County 
217,48,435,435,321,549,11.7,8.6,14.8,150,100,200,17.3,11.5,23.1,109,71,147,17.5,11.4,23.6,64612,54990,74234,Sutton County 
218,48,437,1310,993,1627,19.6,14.9,24.3,473,321,625,27.2,18.5,35.9,334,222,446,25.1,16.7,33.5,39897,34118,45676,Swisher County 
219,48,439,220041,196377,243705,10.5,9.4,11.6,82867,70980,94754,15.4,13.2,17.6,59433,51153,67713,14.9,12.8,17.0,72064,69980,74148,Tarrant County 
220,48,441,16436,13155,19717,12.2,9.8,14.6,5712,3906,7518,16.9,11.6,22.2,3820,2495,5145,16.0,10.5,21.5,52974,47709,58239,Taylor County 
221,48,443,98,71,125,14.0,10.2,17.8,17,11,23,13.2,8.6,17.8,12,8,16,12.9,8.2,17.6,42849,36356,49342,Terrell County 
222,48,445,2060,1512,2608,18.5,13.6,23.4,903,601,1205,27.4,18.2,36.6,629,413,845,26.5,17.4,35.6,47292,40357,54227,Terry County 
223,48,447,201,150,252,13.5,10.0,17.0,85,58,112,27.7,19.0,36.4,57,37,77,25.2,16.4,34.0,46820,39513,54127,Throckmorton County 
224,48,449,4630,3624,5636,14.3,11.2,17.4,1980,1469,2491,21.4,15.9,26.9,1386,1022,1750,20.3,15.0,25.6,52973,47465,58481,Titus County 
225,48,451,13885,10606,17164,12.0,9.2,14.8,4641,3189,6093,16.6,11.4,21.8,3155,2097,4213,15.5,10.3,20.7,55990,49903,62077,Tom Green County
226,48,453,129969,114295,145643,10.2,9.0,11.4,29199,22147,36251,10.9,8.3,13.5,20548,15512,25584,10.7,8.1,13.3,82605,79927,85283,Travis County 
227,48,455,2477,1887,3067,16.8,12.8,20.8,761,522,1000,26.5,18.2,34.8,537,356,718,25.0,16.6,33.4,47685,41451,53919,Trinity County 
228,48,457,3724,2942,4506,18.9,14.9,22.9,1121,866,1376,27.9,21.5,34.3,832,645,1019,27.5,21.3,33.7,48809,42528,55090,Tyler County 
229,48,459,5243,3949,6537,12.6,9.5,15.7,1733,1159,2307,17.8,11.9,23.7,1303,873,1733,17.7,11.9,23.5,58231,53075,63387,Upshur County 
230,48,461,430,319,541,12.1,9.0,15.2,174,117,231,17.0,11.5,22.5,123,82,164,16.0,10.6,21.4,59593,53005,66181,Upton County 
231,48,463,4984,3820,6148,19.0,14.6,23.4,2150,1501,2799,30.7,21.4,40.0,1518,1023,2013,29.7,20.0,39.4,49275,45416,53134,Uvalde County 
232,48,465,7332,5535,9129,15.6,11.8,19.4,3298,2131,4465,24.3,15.7,32.9,2445,1565,3325,25.1,16.1,34.1,54346,49564,59128,Val Verde County
233,48,467,7302,5669,8935,12.9,10.0,15.8,2276,1546,3006,17.7,12.0,23.4,1636,1080,2192,17.2,11.4,23.0,57891,51132,64650,Van Zandt County
234,48,469,14859,12540,17178,16.5,13.9,19.1,5483,4209,6757,24.4,18.7,30.1,3640,2666,4614,22.2,16.3,28.1,53583,48184,58982,Victoria County 
235,48,471,9987,7345,12629,18.0,13.2,22.8,2166,1433,2899,20.8,13.8,27.8,1520,990,2050,20.4,13.3,27.5,43002,40278,45726,Walker County 
236,48,473,6689,5094,8284,12.6,9.6,15.6,2368,1684,3052,17.4,12.4,22.4,1642,1131,2153,16.4,11.3,21.5,69460,60879,78041,Waller County 
237,48,475,1170,836,1504,9.8,7.0,12.6,499,334,664,14.4,9.6,19.2,351,230,472,14.1,9.2,19.0,57257,54740,59774,Ward County 
238,48,477,3937,2921,4953,11.7,8.7,14.7,1325,880,1770,17.6,11.7,23.5,989,649,1329,17.6,11.5,23.7,62667,57641,67693,Washington County 
239,48,479,54564,46385,62743,19.9,16.9,22.9,26566,21115,32017,30.3,24.1,36.5,19439,15408,23470,30.4,24.1,36.7,56588,53911,59265,Webb County 
240,48,481,5675,4194,7156,13.8,10.2,17.4,2185,1444,2926,20.6,13.6,27.6,1588,1033,2143,20.7,13.5,27.9,55887,48533,63241,Wharton County 
241,48,483,662,508,816,13.5,10.3,16.7,246,167,325,20.3,13.8,26.8,176,117,235,18.8,12.5,25.1,49838,43586,56090,Wheeler County 
242,48,485,19233,15599,22867,16.0,13.0,19.0,6125,4419,7831,20.9,15.1,26.7,4160,2910,5410,19.5,13.6,25.4,54659,50901,58417,Wichita County 
243,48,487,1784,1364,2204,14.6,11.2,18.0,565,392,738,21.1,14.6,27.6,414,286,542,21.9,15.1,28.7,51774,46230,57318,Wilbarger County 
244,48,489,4393,3169,5617,24.7,17.8,31.6,1652,1078,2226,34.0,22.2,45.8,1219,782,1656,33.7,21.6,45.8,40190,34512,45868,Willacy County 
245,48,491,34425,28213,40637,5.6,4.6,6.6,9443,6667,12219,6.3,4.5,8.1,6856,4834,8878,6.1,4.3,7.9,91507,85894,97120,Williamson County 
246,48,493,4847,3737,5957,9.4,7.2,11.6,1380,929,1831,11.5,7.7,15.3,990,656,1324,10.8,7.2,14.4,74529,67028,82030,Wilson County 
247,48,495,918,682,1154,11.8,8.8,14.8,383,251,515,16.9,11.1,22.7,276,178,374,16.5,10.6,22.4,77960,69899,86021,Winkler County 
248,48,497,6982,5471,8493,10.0,7.8,12.2,2113,1467,2759,12.4,8.6,16.2,1477,1007,1947,11.6,7.9,15.3,71636,62192,81080,Wise County 
249,48,499,6015,4507,7523,13.5,10.1,16.9,1810,1209,2411,21.4,14.3,28.5,1286,842,1730,20.3,13.3,27.3,61886,59531,64241,Wood County 
250,48,501,934,700,1168,10.8,8.1,13.5,424,293,555,14.9,10.3,19.5,305,208,402,14.9,10.1,19.7,67132,59062,75202,Yoakum County 
251,48,503,2610,2043,3177,14.8,11.6,18.0,905,663,1147,22.1,16.2,28.0,597,410,784,19.3,13.3,25.3,54569,46697,62441,Young County 
252,48,505,3471,2598,4344,24.6,18.4,30.8,1795,1188,2402,39.5,26.1,52.9,1261,812,1710,36.6,23.6,49.6,39876,33610,46142,Zapata County 
253,48,507,3094,2358,3830,27.2,20.7,33.7,1289,897,1681,39.0,27.1,50.9,936,645,1227,37.4,25.8,49.0,34898,29483,40313,Zavala County 
